Animal ID,Found Location,At AAC,Intake Date,Type,Looks Like,Color,Sex,Age,Image Link
A878814,"ALGUNO ROAD
AUSTIN 78757",No (contact for more info),04/17/2023,Cat,Domestic Shorthair,Orange/White,Intact Male,1 day,http://www.petharbor.com/pet.asp?uaid=ASTN.A878814
A878905,"5827 LEVANDER
AUSTIN 78702
(30.24746, -97.69196)",Yes (come to the shelter),04/18/2023,Dog,Mastiff Mix,Brown Brindle/Black,Intact Female,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A878905
A878709,"1300 MONTOPOLIS DR
AUSTIN 78741
(30.23103, -97.6996)",Yes (come to the shelter),04/15/2023,Dog,Australian Cattle Dog Mix,Blue Tick/White,Intact Male,9 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A878709
A878689,"5806 ENCINAL CV
AUSTIN 78744
(30.19174, -97.7509)",Yes (come to the shelter),04/15/2023,Cat,Domestic Shorthair,Lilac Point,Intact Male,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A878689
A878795,"2206 BLUE MEADOW DRIVE78744
(30.18158, -97.76344)",Yes (come to the shelter),04/17/2023,Cat,Domestic Shorthair,Blue/White,Intact Female,5 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A878795
A878649,"DESSAU ROAD
AUSTIN 78754",Yes (come to the shelter),04/14/2023,Dog,German Shepherd,Tan/Black,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A878649
A879019,"979 SPRINGDALE RD
AUSTIN 78702
(30.26396, -97.69624)",Yes (come to the shelter),04/20/2023,Dog,American Bulldog/Pit Bull,Brown,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A879019
A878203,"WEST 6TH STREET
AUSTIN 78701",Yes (come to the shelter),04/17/2023,Dog,Catahoula/Smooth Fox Terrier,Brown/White,Intact Female,7 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A878203
A878880,"2509 PATSY PKWY
AUSTIN 78744
(30.17705, -97.76206)",Yes (come to the shelter),04/18/2023,Cat,Domestic Shorthair,Brown Tabby/White,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A878880
A878959,"1156 WEST CESAR
CHAVEZ AUSTIN 78703
(30.26968, -97.75896)",Yes (come to the shelter),04/19/2023,Dog,Miniature Poodle/Standard Schnauzer,Black/Tan,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A878959
A878775,"LEXINGTON ROAD
AUSTIN 78757",Yes (come to the shelter),04/17/2023,Cat,Domestic Shorthair Mix,Calico,Spayed Female,12 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A878775
A878638,"333 E SLAUGHTER LN
AUSTIN 78744
(30.16585, -97.78064)",Yes (come to the shelter),04/14/2023,Cat,Domestic Shorthair,Lynx Point,Intact Male,11 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A878638
A878851,"5408 WESTMINSTER DRIVE
AUSTIN 78723
(30.30666, -97.68963)",Yes (come to the shelter),04/18/2023,Dog,Pit Bull,Brown/White,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A878851
A878818,"ALGUNO ROAD
AUSTIN 78757",No (contact for more info),04/17/2023,Cat,Domestic Shorthair,Black,Intact Female,1 day,http://www.petharbor.com/pet.asp?uaid=ASTN.A878818
A878945,"6209 VERA LN
AUSTIN 78741
(30.23839, -97.69567)",Yes (come to the shelter),04/19/2023,Cat,Domestic Shorthair Mix,Black/White,Intact Male,6 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A878945
A879026,8718 FM78719,Yes (come to the shelter),04/20/2023,Cat,Domestic Shorthair,Orange Tabby,Intact Male,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A879026
A879061,"16211 CENTRAL COMMERENCE DR78660
(30.45859, -97.6595)",Yes (come to the shelter),04/20/2023,Dog,German Shepherd,Brown/Black,Neutered Male,5 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A879061
A878906,"5827 LEVANDER
AUSTIN 78702
(30.24746, -97.69196)",Yes (come to the shelter),04/18/2023,Dog,Mastiff Mix,Brown Brindle/Black,Intact Male,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A878906
A879011,"11607 OLD LOCKHART RD78610
(30.10557, -97.73671)",Yes (come to the shelter),04/20/2023,Dog,Australian Cattle Dog,Black/White,Intact Male,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A879011
